"bioclim"	"gower"	"maha"	"maxent"
0.909090909090909	0.785123966942149	0.991735537190083	1
0.768595041322314	0.524793388429752	0.900826446280992	0.917355371900826
0.818181818181818	0.702479338842975	0.867768595041322	1
0.954545454545455	0.793388429752066	0.950413223140496	0.909090909090909
0.772727272727273	0.909090909090909	0.975206611570248	1
0.818181818181818	0.677685950413223	0.818181818181818	1
0.793388429752066	0.727272727272727	0.917355371900826	0.909090909090909
0.814049586776859	0.809917355371901	0.859504132231405	0.909090909090909
0.772727272727273	0.785123966942149	0.884297520661157	1
0.909090909090909	0.636363636363636	0.87603305785124	1
0.954545454545455	0.958677685950413	1	1
0.909090909090909	0.615702479338843	0.933884297520661	1
0.818181818181818	0.933884297520661	1	1
0.863636363636364	0.665289256198347	0.917355371900826	1
0.706611570247934	0.764462809917355	0.851239669421488	0.917355371900826
0.727272727272727	0.706611570247934	0.909090909090909	1
0.954545454545455	0.776859504132231	0.87603305785124	1
0.818181818181818	0.640495867768595	0.851239669421488	1
0.818181818181818	0.834710743801653	0.925619834710744	1
0.545454545454545	0.520661157024793	0.793388429752066	1
