"bioclim"	"gower"	"maha"	"maxent"
0.727272727272727	0.880165289256198	0.892561983471074	1
0.909090909090909	0.991735537190083	0.966942148760331	1
0.954545454545455	1	1	1
0.590909090909091	0.884297520661157	0.933884297520661	0.991735537190083
1	0.966942148760331	0.966942148760331	1
0.818181818181818	0.933884297520661	0.958677685950413	1
0.909090909090909	1	1	1
0.818181818181818	0.958677685950413	0.950413223140496	1
0.818181818181818	1	1	0.991735537190083
0.636363636363636	0.863636363636364	0.991735537190083	1
0.909090909090909	0.966942148760331	0.983471074380165	1
0.727272727272727	1	1	0.991735537190083
0.772727272727273	0.863636363636364	0.983471074380165	0.983471074380165
0.909090909090909	1	1	1
0.818181818181818	1	1	0.958677685950413
0.818181818181818	0.950413223140496	0.966942148760331	0.942148760330578
0.772727272727273	0.84297520661157	0.834710743801653	1
0.863636363636364	0.954545454545455	0.975206611570248	1
0.909090909090909	0.950413223140496	0.991735537190083	1
0.863636363636364	0.933884297520661	0.975206611570248	1
