gbifID;datasetKey;occurrenceID;kingdom;phylum;class;order;family;genus;species;infraspecificEpithet;taxonRank;scientificName;verbatimScientificName;verbatimScientificNameAuthorship;countryCode;locality;stateProvince;occurrenceStatus;individualCount;publishingOrgKey;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;coordinatePrecision;elevation;elevationAccuracy;depth;depthAccuracy;eventDate;day;month;year;taxonKey;speciesKey;basisOfRecord;institutionCode;collectionCode;catalogNumber;recordNumber;identifiedBy;dateIdentified;license;rightsHolder;recordedBy;typeStatus;establishmentMeans;lastInterpreted;mediaType;issue;;;;;;;
2831934494;19828488-7ebf-43f8-88af-6461d8afef9e;https://data.biodiversitydata.nl/naturalis/specimen/RMNH.PISC.4210;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Sphyrnidae;Sphyrna;Sphyrna tudes;;SPECIES;Sphyrna tudes (Valenciennes; 1822);Sphyrna tudes (Valenciennes; 1822);(Valenciennes; 1822);SR;;;;;;;;;;;;;;;;;;2418813;2418813;PRESERVED_SPECIMEN;;Pisces;RMNH.PISC.4210;;;;CC0_1_0;Naturalis Biodiversity Center;;;;2021-12-13T04:52:34.532Z;;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;;;;
2831921690;19828488-7ebf-43f8-88af-6461d8afef9e;https://data.biodiversitydata.nl/naturalis/specimen/RMNH.PISC.34062;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Sphyrnidae;Sphyrna;Sphyrna tudes;;SPECIES;Sphyrna tudes (Valenciennes; 1822);Sphyrna tudes (Valenciennes; 1822);(Valenciennes; 1822);SR;"Between 10 miles E and 5 miles W of lightship ""Suriname Rivier""";;;;;;;;;;;;;1971-04-28T00:00:00;28;4;1971;2418813;2418813;PRESERVED_SPECIMEN;;Pisces;RMNH.PISC.34062;;M.J.P. van Oijen;2001-02-01T00:00:00;CC0_1_0;Naturalis Biodiversity Center;P. Staffeleu;;;2021-12-13T04:52:35.762Z;;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;;;;
2831916143;19828488-7ebf-43f8-88af-6461d8afef9e;https://data.biodiversitydata.nl/naturalis/specimen/RMNH.PISC.18266;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Sphyrnidae;Sphyrna;Sphyrna tudes;;SPECIES;Sphyrna tudes (Valenciennes; 1822);Sphyrna tudes (Valenciennes; 1822);(Valenciennes; 1822);SR;Coppename Point;;;;;;;;;;;;;1948-01-01T00:00:00;1;1;1948;2418813;2418813;PRESERVED_SPECIMEN;;Pisces;RMNH.PISC.18266;;M. Boeseman;1948-01-12T00:00:00;CC0_1_0;Naturalis Biodiversity Center;D.C. Geijskes;;;2021-12-13T04:52:31.977Z;;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;;;;
2802250192;e87e0415-bdb2-45eb-8954-b6b4454e1852;FBIP:IZIKO:MB-F039277;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Sphyrnidae;Sphyrna;Sphyrna tudes;;SPECIES;Sphyrna tudes (Valenciennes; 1822);;;SR;Off Paramaribo; Suriname;;PRESENT;;;;;;;;;;;;;;;2418813;2418813;PRESERVED_SPECIMEN;;;MB-F039277;;;;CC_BY_4_0;;;;;2021-12-02T13:18:55.066Z;;;;;;;
2432808682;19828488-7ebf-43f8-88af-6461d8afef9e;https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PISC.112241;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Sphyrnidae;Sphyrna;Sphyrna tudes;;SPECIES;Sphyrna tudes (Valenciennes; 1822);Sphyrna tudes;;SR;Coast off Corantijn River;;PRESENT;1;6.25;-56.75;;;;;;;;1968-09-25T00:00:00;25;9;1968;2418813;2418813;PRESERVED_SPECIMEN;;Pisces;ZMA.PISC.112241;;Nijssen H.;;CC0_1_0;Naturalis Biodiversity Center;L.J.K. Kleyn;;;2021-12-13T04:52:31.711Z;;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;;;;;;
2432807680;19828488-7ebf-43f8-88af-6461d8afef9e;https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PISC.112242;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Sphyrnidae;Sphyrna;Sphyrna tudes;;SPECIES;Sphyrna tudes (Valenciennes; 1822);Sphyrna tudes;;SR;Coast;;PRESENT;2;396d5f30-dea9-11db-8ab4-b8a03c50a862;;;;;;;;;;;;;2418813;2418813;PRESERVED_SPECIMEN;;Pisces;ZMA.PISC.112242;;Nijssen H.;;CC0_1_0;Naturalis Biodiversity Center;;;;2021-12-13T04:52:33.002Z;;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;;;;;;
2432806684;19828488-7ebf-43f8-88af-6461d8afef9e;https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PISC.112240;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Sphyrnidae;Sphyrna;Sphyrna tudes;;SPECIES;Sphyrna tudes (Valenciennes; 1822);Sphyrna tudes (Valenciennes; 1822);(Valenciennes; 1822);SR;Coast of Cornantijn river;;6.25;-56.75;;;;;;;;;;1968-09-25T00:00:00;25;9;1968;2418813;2418813;PRESERVED_SPECIMEN;;Pisces;ZMA.PISC.112240;;Nijssen H.;;CC0_1_0;Naturalis Biodiversity Center;L.J.K. Kleyn;;;2021-12-13T04:52:32.192Z;;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;;;;
2432736058;19828488-7ebf-43f8-88af-6461d8afef9e;https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PISC.106184;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Sphyrnidae;Sphyrna;Sphyrna tudes;;SPECIES;Sphyrna tudes (Valenciennes; 1822);Spyhrna tudes (Valenciennes; 1822);(Valenciennes; 1822);SR;"Kust, ca. 8 mijl ten Noord Westen van het lichtschip in de monding van de Suriname rivier. Trawl ""Coquette""";;;;;;;;;;;;;1967-06-06T00:00:00;6;6;1967;2418813;2418813;PRESERVED_SPECIMEN;;Pisces;ZMA.PISC.106184;;Nijssen H.;;CC0_1_0;Naturalis Biodiversity Center;H. Nijssen;;;2021-12-13T04:52:31.107Z;;TAXON_MATCH_FUZZY;;;;
2432734069;19828488-7ebf-43f8-88af-6461d8afef9e;https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PISC.106183;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Sphyrnidae;Sphyrna;Sphyrna tudes;;SPECIES;Sphyrna bigelowi Springer;1944;Sphyrna bigelowi;;SR;Riviermonding van de surinamerivier ten Oosten van het Lichtschip.;;PRESENT;1;;;;;;;;;;1966-09-06T00:00:00;6;9;1966;2418821;2418813;PRESERVED_SPECIMEN;;Pisces;ZMA.PISC.106183;;Nijssen H.;;CC0_1_0;Naturalis Biodiversity Center;H. Nijssen;;;2021-12-13T04:52:30.775Z;;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;;;;;;
2251216537;040c5662-da76-4782-a48e-cdea1892d14c;http://bins.boldsystems.org/index.php/Public_RecordView?processid=PHANT286-08;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Sphyrnidae;Sphyrna;Sphyrna tudes;;UNRANKED;BOLD:AAE9151;BOLD:AAE9151;;TT;Manzanilla Bay;;PRESENT;;b3bf3a83-1f68-4541-a03f-330d30d567f5;;;;;;;;;;;;;10227616;2418813;MATERIAL_SAMPLE;;;;;;;CC_BY_4_0;Barcode of Life Datasystems;;;;2021-12-01T17:18:46.231Z;;;;;;;;;
