id;dataset_id;decimallongitude;decimallatitude;date_start;date_mid;date_end;date_year;scientificname;originalscientificname;minimumdepthinmeters;maximumdepthinmeters;coordinateuncertaintyinmeters;flags;dropped;absence;shoredistance;bathymetry;sst;sss;marine;brackish;freshwater;terrestrial;taxonrank;aphiaid;redlist_category;superdomain;domain;kingdom;subkingdom;infrakingdom;phylum;phylum_division;subphylum_subdivision;subphylum;infraphylum;parvphylum;gigaclass;megaclass;superclass;class;subclass;infraclass;subterclass;superorder;order;suborder;infraorder;parvorder;superfamily;family;subfamily;supertribe;tribe;subtribe;genus;subgenus;section;subsection;series;species;subspecies;natio;variety;subvariety;forma;subforma;type;modified;language;license;rightsholder;accessrights;bibliographiccitation;references;institutionid;collectionid;datasetid;institutioncode;collectioncode;datasetname;ownerinstitutioncode;basisofrecord;informationwithheld;datageneralizations;dynamicproperties;materialsampleid;occurrenceid;catalognumber;occurrenceremarks;recordnumber;recordedby;recordedbyid;individualcount;organismquantity;organismquantitytype;sex;lifestage;reproductivecondition;behavior;establishmentmeans;occurrencestatus;preparations;disposition;othercatalognumbers;associatedmedia;associatedreferences;associatedsequences;associatedtaxa;organismid;organismname;organismscope;associatedoccurrences;associatedorganisms;previousidentifications;organismremarks;eventid;parenteventid;samplingprotocol;samplesizevalue;samplesizeunit;samplingeffort;eventdate;eventtime;startdayofyear;enddayofyear;year;month;day;verbatimeventdate;habitat;fieldnumber;fieldnotes;eventremarks;locationid;highergeographyid;highergeography;continent;waterbody;islandgroup;island;country;countrycode;stateprovince;county;municipality;locality;verbatimlocality;verbatimelevation;minimumelevationinmeters;maximumelevationinmeters;verbatimdepth;minimumdistanceabovesurfaceinmeters;maximumdistanceabovesurfaceinmeters;locationaccordingto;locationremarks;verbatimcoordinates;verbatimlatitude;verbatimlongitude;verbatimcoordinatesystem;verbatimsrs;geodeticdatum;coordinateprecision;pointradiusspatialfit;footprintwkt;footprintsrs;footprintspatialfit;georeferencedby;georeferenceddate;georeferenceprotocol;georeferencesources;georeferenceverificationstatus;georeferenceremarks;geologicalcontextid;earliesteonorlowesteonothem;latesteonorhighesteonothem;earliesteraorlowesterathem;latesteraorhighesterathem;earliestperiodorlowestsystem;latestperiodorhighestsystem;earliestepochorlowestseries;latestepochorhighestseries;earliestageorloweststage;latestageorhigheststage;lowestbiostratigraphiczone;highestbiostratigraphiczone;lithostratigraphicterms;group;formation;member;bed;identificationid;identifiedby;identifiedbyid;dateidentified;identificationreferences;identificationremarks;identificationqualifier;identificationverificationstatus;typestatus;taxonid;scientificnameid;acceptednameusageid;parentnameusageid;originalnameusageid;nameaccordingtoid;namepublishedinid;taxonconceptid;acceptednameusage;parentnameusage;originalnameusage;nameaccordingto;namepublishedin;namepublishedinyear;higherclassification;specificepithet;infraspecificepithet;verbatimtaxonrank;scientificnameauthorship;vernacularname;nomenclaturalcode;taxonomicstatus;nomenclaturalstatus;taxonremarks
829ceb35-d651-4508-a4a5-c2ce35d28f98;36fbc01b-72bd-42f0-af0a-e1701cddcf94;-60.616667;10.7;5.25E+11;5.25E+11;5.25E+11;1986;Sphyrna tudes;Sphyrna tudes;;;;{no_depth};f;f;34770;28;28.08;33.15;1;0;0;0;Species;105818;CR;Biota;;Animalia;;;Chordata;;;Vertebrata;Gnathostomata;Chondrichthyes;;;;Elasmobranchii;Neoselachii;Selachii;;Galeomorphi;Carcharhiniformes;;;;;Sphyrnidae;;;;;Sphyrna;;;;;Sphyrna tudes;;;;;;;Collection;;;CC BY 4.0;OS;;;;;77;;OS;Fishes;;;PreservedSpecimen;;;;;FN2-17644963-77-OS;11076;;FN2-17644963-77-OS;Cook, Sid;;;;;;;;;;present;;;;;;;;;;;;;;;;;;;;;23/08/1986;;;;;;;;;;;;;;;;;;;Republic of Trinidad and Tobago;;;;;Trinidad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;urn:lsid:marinespecies.org:taxname:105818;;;;;;;;;;;;;;;;;;;;;;
ea8a6a51-9a88-4a09-ad22-2e9169ef40fd;36fbc01b-72bd-42f0-af0a-e1701cddcf94;-60.616667;10.7;5.25E+11;5.25E+11;5.25E+11;1986;Sphyrna tudes;Sphyrna tudes;;;;{no_depth};f;f;34770;28;28.08;33.15;1;0;0;0;Species;105818;CR;Biota;;Animalia;;;Chordata;;;Vertebrata;Gnathostomata;Chondrichthyes;;;;Elasmobranchii;Neoselachii;Selachii;;Galeomorphi;Carcharhiniformes;;;;;Sphyrnidae;;;;;Sphyrna;;;;;Sphyrna tudes;;;;;;;Collection;;;CC BY 4.0;OS;;;;;77;;OS;Fishes;;;PreservedSpecimen;;;;;FN2-17644965-77-OS;11079;;FN2-17644965-77-OS;Cook, Sid;;;;;;;;;;present;;;;;;;;;;;;;;;;;;;;;23/08/1986;;;;;;;;;;;;;;;;;;;Republic of Trinidad and Tobago;;;;;Trinidad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;urn:lsid:marinespecies.org:taxname:105818;;;;;;;;;;;;;;;;;;;;;;
4bb0fc33-725b-4c3a-82b3-4cc09b37df0a;36fbc01b-72bd-42f0-af0a-e1701cddcf94;-52.31062;4.932294;2.51E+11;2.51E+11;2.51E+11;1977;Sphyrna tudes;Sphyrna tudes;;;;{no_depth,on_land};f;f;-1556;-17;27.75;24.95;1;0;0;0;Species;105818;CR;Biota;;Animalia;;;Chordata;;;Vertebrata;Gnathostomata;Chondrichthyes;;;;Elasmobranchii;Neoselachii;Selachii;;Galeomorphi;Carcharhiniformes;;;;;Sphyrnidae;;;;;Sphyrna;;;;;Sphyrna tudes;;;;;;;Collection;;;CC BY 4.0;UF;;;;;70;;UF;Fish;;;PreservedSpecimen;;;;;FN2-30364432-70-UF;32650;;FN2-30364432-70-UF;Berry, Frederick;;;;;;;;;;present;;;;;;;;;;;;;;;;;;;;;12/12/1977;;;;;;;;;;;;;;;;;;;French Guiana;;;;;Cayenne.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;urn:lsid:marinespecies.org:taxname:105818;;;;;;;;;;;;;;;;;;;;;;
619221a5-e199-464c-87ec-e783a1fecc6d;36fbc01b-72bd-42f0-af0a-e1701cddcf94;-55.75;6.25;-60739200000;-60739200000;-60739200000;1968;Sphyrna tudes;Sphyrna tudes;;;;{no_depth};f;f;27836;26;27.44;34.76;1;0;0;0;Species;105818;CR;Biota;;Animalia;;;Chordata;;;Vertebrata;Gnathostomata;Chondrichthyes;;;;Elasmobranchii;Neoselachii;Selachii;;Galeomorphi;Carcharhiniformes;;;;;Sphyrnidae;;;;;Sphyrna;;;;;Sphyrna tudes;;;;;;;Collection;;;CC BY 4.0;UF;;;;;70;;UF;Fish;;;PreservedSpecimen;;;;;FN2-30374013-70-UF;42261;;FN2-30374013-70-UF;R/V Calamar;;;;;;;;;;present;;;;;;;;;;;;;;;;;;;;;29/01/1968;;;;;;;;;;;;;;;;;;;Suriname;;;;;Off Suriname;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;urn:lsid:marinespecies.org:taxname:105818;;;;;;;;;;;;;;;;;;;;;;
63fb778c-b6ae-46f5-87d4-93fe2b2f0e67;36fbc01b-72bd-42f0-af0a-e1701cddcf94;-54.75;6.25;-75427200000;-75427200000;-75427200000;1967;Sphyrna tudes;Sphyrna tudes;;;;{no_depth};f;f;29138;8;27.51;34.03;1;0;0;0;Species;105818;CR;Biota;;Animalia;;;Chordata;;;Vertebrata;Gnathostomata;Chondrichthyes;;;;Elasmobranchii;Neoselachii;Selachii;;Galeomorphi;Carcharhiniformes;;;;;Sphyrnidae;;;;;Sphyrna;;;;;Sphyrna tudes;;;;;;;Collection;;;CC BY 4.0;UF;;;;;70;;UF;Fish;;;PreservedSpecimen;;;;;FN2-30374014-70-UF;42262;;FN2-30374014-70-UF;R/V Calamar;;;;;;;;;;present;;;;;;;;;;;;;;;;;;;;;12/08/1967;;;;;;;;;;;;;;;;;;;Suriname;;;;;Off Surinam.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;urn:lsid:marinespecies.org:taxname:105818;;;;;;;;;;;;;;;;;;;;;;
1db676dc-c8ad-473f-b926-de77253a9a0b;36fbc01b-72bd-42f0-af0a-e1701cddcf94;-60.998186;10.536913;4.80E+11;4.80E+11;4.80E+11;1985;Sphyrna tudes;Sphyrna tudes;;;;{no_depth};f;f;1757;11;27.97;32.98;1;0;0;0;Species;105818;CR;Biota;;Animalia;;;Chordata;;;Vertebrata;Gnathostomata;Chondrichthyes;;;;Elasmobranchii;Neoselachii;Selachii;;Galeomorphi;Carcharhiniformes;;;;;Sphyrnidae;;;;;Sphyrna;;;;;Sphyrna tudes;;;;;;;Collection;;;CC BY 4.0;UF;;;;;70;;UF;Fish;;;PreservedSpecimen;;;;;FN2-30374015-70-UF;42263;;FN2-30374015-70-UF;Gruber, S;;;;;;;;;;present;;;;;;;;;;;;;;;;;;;;;13/03/1985;;;;;;;;;;;;;;;;;;;Trinidad and Tobago;;;;;Ca 1 mi E of central-east coast, 1.5 mi NE of Manzanilla Point.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;urn:lsid:marinespecies.org:taxname:105818;;;;;;;;;;;;;;;;;;;;;;
7a79511f-72b6-419e-98b1-5ac23dbb71ca;d6d6fe4c-425f-4ce7-bf28-7a6befaeb413;-55.09999847;6.400000095;;;;;Sphyrna tudes;Sphyrna tudes;24;24;;{};f;f;45612;26;27.43;34.42;1;0;0;0;Species;105818;CR;Biota;;Animalia;;;Chordata;;;Vertebrata;Gnathostomata;Chondrichthyes;;;;Elasmobranchii;Neoselachii;Selachii;;Galeomorphi;Carcharhiniformes;;;;;Sphyrnidae;;;;;Sphyrna;;;;;Sphyrna tudes;;;;;;;;;;;;;Department of Vertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution;;;;;USNM;Vertebrate Zoology;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3689ab9e-08ab-46bd-b481-493b0051c2ba;d6d6fe4c-425f-4ce7-bf28-7a6befaeb413;-55.09999847;6.400000095;;;;;Sphyrna tudes;Sphyrna tudes;24;24;;{};f;f;45612;26;27.43;34.42;1;0;0;0;Species;105818;CR;Biota;;Animalia;;;Chordata;;;Vertebrata;Gnathostomata;Chondrichthyes;;;;Elasmobranchii;Neoselachii;Selachii;;Galeomorphi;Carcharhiniformes;;;;;Sphyrnidae;;;;;Sphyrna;;;;;Sphyrna tudes;;;;;;;;;;;;;Department of Vertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution;;;;;USNM;Vertebrate Zoology;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
080b3a2a-971a-49c1-a4cb-868e01c31ff0;d6d6fe4c-425f-4ce7-bf28-7a6befaeb413;-55.09999847;6.400000095;;;;;Sphyrna tudes;Sphyrna tudes;;26;;{};f;f;45612;26;27.43;34.42;1;0;0;0;Species;105818;CR;Biota;;Animalia;;;Chordata;;;Vertebrata;Gnathostomata;Chondrichthyes;;;;Elasmobranchii;Neoselachii;Selachii;;Galeomorphi;Carcharhiniformes;;;;;Sphyrnidae;;;;;Sphyrna;;;;;Sphyrna tudes;;;;;;;;;;;;;Department of Vertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution;;;;;USNM;Vertebrate Zoology;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2a70bc1a-f5a7-4d44-88dd-2ddd1fab8ee5;d6d6fe4c-425f-4ce7-bf28-7a6befaeb413;-54.85833359;6.333333015;;;;;Sphyrna tudes;Sphyrna tudes;22;22;;{};f;f;37564;27;27.49;34.13;1;0;0;0;Species;105818;CR;Biota;;Animalia;;;Chordata;;;Vertebrata;Gnathostomata;Chondrichthyes;;;;Elasmobranchii;Neoselachii;Selachii;;Galeomorphi;Carcharhiniformes;;;;;Sphyrnidae;;;;;Sphyrna;;;;;Sphyrna tudes;;;;;;;;;;;;;Department of Vertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution;;;;;USNM;Vertebrate Zoology;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
