InstitutionCode;CollectionCode;CatalogNumber;IndividualCount;ScientificName;Family;PreparationType;Tissues;Latitude;Longitude;CoordinateUncertaintyInMeters;HorizontalDatum;Country;StateProvince;County;Island;IslandGroup;Locality;VerbatimElevation;VerbatimDepth;YearCollected;MonthCollected;DayCollected;Collector;GeorefMethod;LatLongComments;BasisOfRecord;Remarks;DateLastModified
MCZ;Ich;35247;1;Sphyrna tudes;Sphyrnidae;whole animal (70% ethanol);;26.948349;-82.382353;4459;decimal degrees;United States;Florida;;;;Atlantic, Western Central, Englewood;;;;;;Stewart Springer;MaNIS/HerpNET/ORNIS Georeferencing Guidelines;Shallow water marine spp. Lemon Bay and nearshore Gulf in vicinity of Englewood included in polygon.;PreservedSpecimen;;36:12.0
MCZ;Ich;40585;1;Sphyrna tudes;Sphyrnidae;whole animal (alcohol);;26.641468;-79.586231;67908;decimal degrees;United States;Florida;;;;Atlantic, Western Central, off Palm Beach;;;;;;M. M. Vorenberg;GEOLocate;;PreservedSpecimen;age class: larval;23:02.0
MCZ;Ich;153657;1;Sphyrna tudes;Sphyrnidae;teeth (dry);;;;;;;;;;;[no specific locality data];;;;;;[no agent data];;;PreservedSpecimen;;18:00.0
MCZ;Ich;172765;1;Sphyrna tudes;Sphyrnidae;skin sample (dry);;26.899428;-82.339147;1272;decimal degrees;United States;Florida;;;;Atlantic, Western Central, Englewood, off Stump Pass;;;;;;[no agent data];GEOLocate;;PreservedSpecimen;;57:28.0
CMN;CMNFI;CMNFI 1968-1375.1;1;Sphyrna tudes;;fluid;;16.916667;-99.966667;;;Mexico;Guerrero;;;;Acapulco fish market;;;1961;2;6;Briggs, J.C.;;;PreservedSpecimen;;16:16.0
CMN;CMNFI;CMNFI 1968-1184.1;1;Sphyrna tudes;;fluid;;8° 48' N;-79.566667;;;Panama;Panama Prov.;;;;Bahia de Panama;;;1959;6;3;Johannes, R.E.;;;PreservedSpecimen;;16:37.0
YPM;VZ;YPM ICH 001123;13;Sphyrna tudes;Sphyrnidae;10% form.->70% alc.;;;;;;Mexico;;;;;Pacific Ocean, eastern Pacific off Mexico or Central America;;;1926;;;R/V Pawnee II, R/V Pawnee II;;;PreservedSpecimen;ICH number 1123;
YPM;VZ;YPM ICH 008025;1;Sphyrna tudes;Sphyrnidae;10% form.->70% alc.;;;;;;;;;;;;;;;;;;;;PreservedSpecimen;ICH number 8025;
YPM;VZ;YPM ICH 001008;2;Sphyrna tudes;Sphyrnidae;10% form.->70% alc.;;;;;;Mexico;;;;;Pacific Ocean, eastern Pacific off Mexico or Central America;;;1926;;;R/V Pawnee II, R/V Pawnee II;;;PreservedSpecimen;ICH number 1008;
YPM;VZ;YPM ICH 001124;4;Sphyrna tudes;Sphyrnidae;10% form.->70% alc.;;28.444867;-112.872786;2372;WGS84;Mexico;Baja California Norte;;;;Pacific Ocean;;;;;;;;;;;
